,air,arrang,channel,compris,configur,connect,cool,devic,direct,extend,flow,fluid,form,includ,inlet,invent,outlet,plate,plural,provid,relat,second,structur,surfac,use
158,0.0,0.0,0.0,0.15093493640813313,0.4660722076104559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08921507628575291,0.0,0.07009986764597198,0.0,0.08732907200564025,0.0,0.0,0.0,0.11536427046449022,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5123261566048526,0.03802639015005715,0.03451862844127702,0.037730742758208244,0.0,0.0,0.0,0.02751308505376122,0.03926041458566193,0.0,0.0,0.07053842203172701,0.0,0.0,0.0
170,0.0,0.0,0.0,0.03473215172823536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04458973754635955,0.0,0.0,0.0,0.0,0.0,0.3871420569126108,0.0,0.0,0.0,0.33085335872454114,0.0,0.10618745907720663,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.16972125784917622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13125116559367397,0.0,0.41251724347694757,0.0,0.0,0.16972125784917622,0.0,0.0,0.16972125784917622,0.0
177,0.0,0.11373496062374433,0.0,0.0,0.0,0.0,0.0,0.0,0.1372549856301551,0.20390334337744492,0.22404755392503242,0.23281277801333272,0.26417107135699497,0.0,0.0,0.0,0.0,0.0,0.060091992360924815,0.10492347255241129,0.0,0.10796611198879838,0.0,0.0,0.0
178,0.0,0.0,0.0,0.20514539645741284,0.0,0.0,0.0,0.0,0.0,0.0,0.3801803402414832,0.0,0.11953729885286145,0.0,0.0,0.24251591619755575,0.0,0.0,0.0,0.11869456817082981,0.0,0.0,0.0,0.0,0.0
0,-0.0,-0.0,-0.0,-0.03512907304002268,-0.0,-0.0,-0.0,-0.0,-0.02658834052336752,-0.05266549702057153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04894579272168916,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026850244083964327
1,-0.0,-0.020315103112828168,-0.0,-0.016195659602001887,-0.0,-0.0,-0.0,-0.02428052859646052,-0.024516201267706154,-0.04856105719292104,-0.040018910062503174,-0.0,-0.0,-0.0,-0.0,-0.0191459584013556,-0.024516201267706154,-0.015043748274019494,-0.021467014440810568,-0.018741213362791054,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.059812443140466576,-0.013552696416322892,-0.020924695395735955,-0.0,-0.0,-0.0,-0.02051541222943599,-0.0,-0.03348824020246729,-0.0,-0.0,-0.0,-0.0,-0.032043074279116845,-0.0,-0.025177530070608106,-0.0,-0.0,-0.020717495526258456,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.04383222364188826,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.025540839362454656,-0.0,-0.0,-0.051816965230781734,-0.0,-0.0,-0.0,-0.05072155599866173,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.028411054441041295,-0.0,-0.0,-0.03934326144533878,-0.0,-0.025657494819632594,-0.0,-0.0,-0.0,-0.0,-0.024303956739618465,-0.0,-0.04585028260396805,-0.0,-0.0,-0.02325513333563165,-0.0,-0.0,-0.026074342828595796,-0.0,-0.030071279468804543,-0.0,-0.0,-0.0,-0.0
