,exchang,heat,heat exchang
23,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
24,-0.0,-0.0,-0.0
27,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
29,-0.0,-0.0,-0.0
32,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
33,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
35,-0.0,-0.0,-0.0
36,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0
38,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
39,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0
41,-0.07322989442545934,-0.03247633671772208,-0.03760242743783782
42,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
43,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
44,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
45,-0.0,-0.0,-0.0
47,-0.0,-0.08849447685242647,-0.0
49,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
50,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
51,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
52,-0.0,-0.0,-0.0
54,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
56,-0.0,-0.08849447685242647,-0.0
57,-0.0,-0.0,-0.0
58,-0.0,-0.08849447685242647,-0.0
60,-0.0,-0.0,-0.0
61,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
62,-0.0,-0.0,-0.0
63,-0.03880170735009833,-0.06883185196488291,-0.03984816300893197
64,-0.03880170735009833,-0.06883185196488291,-0.03984816300893197
65,-0.0,-0.0,-0.0
66,-0.0,-0.0,-0.0
68,-0.0,-0.0,-0.0
70,-0.0,-0.08849447685242647,-0.0
71,-0.08849447685242647,-0.0,-0.0
72,-0.0,-0.0,-0.0
73,-0.0,-0.0,-0.0
74,-0.0,-0.0,-0.0
75,-0.0,-0.0,-0.0
76,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
77,-0.0,-0.0,-0.0
78,-0.0,-0.0,-0.0
79,-0.0,-0.0,-0.0
80,-0.0,-0.0,-0.0
81,-0.0,-0.0,-0.0
82,-0.0,-0.08849447685242647,-0.0
83,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
84,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
85,-0.0,-0.0,-0.0
86,-0.0,-0.0,-0.0
87,-0.0,-0.0,-0.0
88,-0.0,-0.0,-0.0
89,-0.0,-0.0,-0.0
91,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
92,-0.0,-0.0,-0.0
94,-0.0,-0.0,-0.0
95,-0.0,-0.0,-0.0
96,-0.0,-0.0,-0.0
97,-0.0,-0.08849447685242647,-0.0
98,-0.0,-0.0,-0.0
99,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
100,-0.0,-0.0,-0.0
101,-0.0,-0.0,-0.0
102,-0.0,-0.08849447685242647,-0.0
103,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
105,-0.0,-0.0,-0.0
106,-0.0,-0.0,-0.0
107,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
109,-0.0,-0.0,-0.0
110,-0.0,-0.0,-0.0
111,-0.0,-0.08849447685242647,-0.0
112,-0.0,-0.0,-0.0
113,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
114,-0.0,-0.0,-0.0
115,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
