,air,bodi,chamber,commun,cool,direct,disclos,effici,extend,flow,form,heat exchang,inlet,outlet,plate,plate heat,surfac,unit,wall,water
55,0.274022308131223,0.0,0.0,0.0,0.0,0.014108423763276236,0.0,0.0,0.014506410999577876,0.037294501480963325,0.0,0.007731640508601988,0.0,0.0,0.0,0.0,0.0,0.02746914444122382,0.0,0.0
56,0.0,0.0,0.0,0.0,0.06748639596359376,0.06376474496549121,0.0,0.0,0.0,0.1685570560857982,0.0,0.17472046965272808,0.0,0.0,0.07931283445686052,0.0,0.062075077241234365,0.0,0.0,0.0
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.21969939645853856,0.0,0.0,0.0,0.0,0.4389848705016654,0.0,0.045503667734592884,0.0853757886714771,0.08083322163105842,0.0,0.0,0.0,0.0,0.0,0.0
4,0.10810561815212373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18416201164752813,0.06405503780500706,0.0,0.0,0.0,0.0,0.4551523272961756,0.0,0.0,0.0
9,0.08508411679091943,0.0,0.0,0.0,0.19472690884983557,0.0,0.0,0.0,0.0,0.0,0.0,0.4033141966759782,0.09458926427769564,0.08955647827394114,0.0,0.0,0.0,0.17911295654788228,0.0,0.0
17,0.0,0.0,0.0,0.12816572022905487,0.0,0.0,0.11200164551444239,0.0,0.0,0.0,0.0,0.3318176131954187,0.12451387693352695,0.11788889996717127,0.1506257136187128,0.25633144045810974,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.13532940502567742,0.062582125107831,0.06766470251283871,0.0,0.1192441901101501,0.05330550923272724,0.33373199398878234,0.0,0.0,0.2524912168257497,0.0,0.0,0.13174338381695905,0.14322795171568622,0.0
36,0.40952466234969054,0.0,0.0,0.0,0.0,0.0,0.04095246623496905,0.044278401223698756,0.09105491830024637,0.0,0.0,0.07279580333737774,0.13658237745036958,0.21552545827376637,0.08261255121862972,0.0,0.0,0.0,0.0,0.0
37,0.40051087080664977,0.0,0.0,0.0,0.26734901071101347,0.07217302831970789,0.0,0.03608651415985394,0.0,0.031797281263992665,0.0,0.05932795031691944,0.0,0.10539083101730279,0.0,0.0,0.0,0.0,0.03819271581585906,0.03710448557035439
38,0.0,0.0,0.0,0.3223591456263013,0.0,0.0,0.14085183890142355,0.0,0.0,0.0,0.0,0.16691583693716117,0.0,0.0,0.2841374604576566,0.0,0.0,0.0,0.0,0.15658706132644562
45,0.0,0.0,0.45006713297604717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2330423479459557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.10279848968032844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1549433841681841,0.0,0.0,0.05861266572038548,0.0,0.09174771717146367,0.4587385858573183,0.0,0.0
64,,,,,,,,,,,,,,,,,,,,
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06056883000291267,-0.0,-0.0,-0.12455485552863478,-0.0,-0.0,-0.09957804517357367,-0.0,-0.0,-0.11300646438403894,-0.0,-0.0,-0.0,-0.06410395033870692,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02925749788964646,-0.026157850079612303,-0.0,-0.0,-0.0,-0.08260093551570953,-0.0,-0.19394563896684816,-0.0,-0.0,-0.0
18,-0.03655138306562516,-0.0,-0.0,-0.0,-0.0,-0.013173295395486959,-0.012183794355208385,-0.0,-0.013544903416014513,-0.0,-0.01037777738247406,-0.007219175297005349,-0.0,-0.02564844663423333,-0.02457811281576569,-0.0,-0.0,-0.02564844663423333,-0.027884318511313615,-0.2031735512402177
20,-0.12734566851638976,-0.0,-0.048574730750567306,-0.0,-0.09714946150113461,-0.0,-0.04244855617212992,-0.0,-0.0,-0.04044081032219104,-0.0,-0.0,-0.0,-0.0,-0.057087054713732856,-0.048574730750567306,-0.0,-0.0,-0.0,-0.09438136868339035
21,-0.14961234977413712,-0.0,-0.0,-0.09783108594209236,-0.0,-0.0,-0.021373192824876732,-0.02310900647354106,-0.0,-0.020362276481336546,-0.01820502140980768,-0.0,-0.04752178575322946,-0.022496653324491116,-0.028743795743092732,-0.02445777148552309,-0.0,-0.08998661329796447,-0.0,-0.0
22,-0.15731730112977346,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013399798797806454,-0.013982111906158166,-0.0,-0.12418989576542708,-0.06347057841445687,-0.0,-0.0,-0.033117305537447225,-0.0,-0.017489195790307697
25,-0.0,-0.0,-0.0,-0.0,-0.025258751837499066,-0.09546326165846078,-0.0,-0.023865815414615195,-0.0,-0.08411652530044453,-0.0,-0.07847307750030634,-0.0,-0.0,-0.0890554240363588,-0.0,-0.0,-0.06970022397591505,-0.0,-0.09815620314599151
26,-0.16692095636634136,-0.07874279651677318,-0.0,-0.0,-0.0,-0.0,-0.011128063757756091,-0.01203182414171881,-0.0,-0.0,-0.018957077739350153,-0.05934267813231435,-0.0,-0.07027799578161992,-0.044896819247813836,-0.012734065644452891,-0.0,-0.0,-0.025468131288905783,-0.0
27,-0.0319288352314347,-0.0,-0.0,-0.109610411830529,-0.0,-0.0,-0.0319288352314347,-0.03452192033737972,-0.0,-0.0,-0.0271959895623055,-0.05675568345415948,-0.0,-0.0,-0.06440936965246194,-0.03653680394350966,-0.03360714251454039,-0.0,-0.0,-0.14198302328067405
28,-0.14852548922750478,-0.0,-0.0,-0.016996068416478074,-0.0,-0.01605879159078824,-0.014852548922750473,-0.04817637477236471,-0.01651179712782051,-0.0,-0.02530187916652063,-0.026401419251182792,-0.03302359425564102,-0.10943280809120849,-0.06991071600730894,-0.016996068416478074,-0.0,-0.03126651659748814,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.12731410864218812,-0.0,-0.0,-0.0,-0.060146578819065905,-0.0,-0.0,-0.0,-0.06592256272621676,-0.0,-0.0,-0.07481243203599064,-0.12731410864218812,-0.0,-0.0,-0.0,-0.0
30,-0.17248874651878163,-0.0,-0.0,-0.0,-0.0,-0.0,-0.028748124419796937,-0.0,-0.0,-0.0,-0.0,-0.0681356705788177,-0.03195971282060085,-0.0,-0.03866199229522111,-0.0,-0.0,-0.09077772246298521,-0.0,-0.0
31,-0.18369427612715147,-0.0,-0.0,-0.0,-0.0,-0.0,-0.026242039446735924,-0.0,-0.0,-0.0,-0.02235215364775995,-0.062196021171657644,-0.0,-0.08286427799505575,-0.017645838596028994,-0.0,-0.0,-0.0,-0.0,-0.0
